"TIME","GEO","SEX","MARSTA","AGE","UNIT","Value","Flag and Footnotes"
"2001","Slovakia","Females","Widowed persons","Total","Number",":",""
"2001","Slovakia","Females","Divorced persons","Total","Number",":",""
"2001","Finland","Total","Persons in registered partnership","Total","Number",":",""
"2001","Finland","Total","Widowed persons","Total","Number","315,815",""
"2001","Finland","Total","Divorced persons","Total","Number","440,949",""
"2001","Finland","Males","Persons in registered partnership","Total","Number",":",""
"2001","Finland","Males","Widowed persons","Total","Number","51,817",""
"2001","Finland","Males","Divorced persons","Total","Number","193,421",""
"2001","Finland","Females","Persons in registered partnership","Total","Number",":",""
"2001","Finland","Females","Widowed persons","Total","Number","263,998",""
